Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
200,38,0.003,565.183,565.143,0.011
200,39,0.003,565.189,565.157,0.011
200,40,0.003,565.159,565.179,0.014
200,41,0.004,565.137,565.182,0.014
200,42,0.005,565.169,565.209,0.011
200,43,0.003,565.161,565.170,0.008
200,44,0.003,565.173,565.162,0.010
200,45,0.003,565.165,565.147,0.013
200,46,0.004,565.192,565.164,0.003
200,47,0.001,565.185,565.136,0.013
200,48,0.004,565.162,565.158,0.015
200,49,0.004,565.133,565.158,0.007
200,50,0.002,565.150,565.151,0.005
200,51,0.001,565.138,565.170,0.002
200,52,0.001,565.142,565.139,0.006
200,53,0.002,565.156,565.150,0.008
200,54,0.002,565.179,565.132,0.010
200,55,0.003,565.185,565.169,0.013
200,56,0.004,565.171,565.187,0.016
200,57,0.005,565.133,565.182,0.016
200,58,0.004,565.133,565.180,0.007
200,59,0.002,565.139,565.169,0.007
200,60,0.002,565.167,565.140,0.011
200,61,0.003,565.160,565.147,0.014
200,62,0.004,565.169,565.137,0.014
200,63,0.004,565.140,565.167,0.011
200,64,0.003,565.171,565.170,0.012
200,65,0.004,565.161,565.168,0.009
200,66,0.004,565.171,565.203,0.013
200,67,0.004,565.141,565.176,0.013
200,68,0.004,565.194,565.145,0.010
200,69,0.004,565.171,565.181,0.013
200,70,0.004,565.169,565.189,0.011
200,71,0.004,565.144,565.151,0.003
200,72,0.001,565.142,565.171,0.007
200,73,0.002,565.151,565.150,0.003
200,74,0.001,565.183,565.156,0.013
200,75,0.004,565.188,565.169,0.011
200,76,0.004,565.179,565.144,0.006
200,77,0.002,565.167,565.150,0.011
200,78,0.004,565.159,565.171,0.013
200,79,0.004,565.166,565.163,0.012
200,80,0.004,565.140,565.156,0.009
200,81,0.003,565.156,565.135,0.004
200,82,0.001,565.136,565.166,0.011
200,83,0.003,565.190,565.142,0.006
200,84,0.002,565.172,565.134,0.011
200,85,0.003,565.159,565.146,0.006
200,86,0.002,565.191,565.200,0.008
200,87,0.002,565.162,565.183,0.011
200,88,0.004,565.161,565.182,0.011
200,89,0.004,565.145,565.164,0.013
200,90,0.004,565.152,565.152,0.003
200,91,0.001,565.170,565.165,0.015
200,92,0.004,565.182,565.147,0.011
