,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
Z-score,"[2850, 3034, 3121, 3443, 3597, 3891, 4266, 4655, 5039, 5711, 6285, 6930, 7833, 8878, 10093, 10824, 11087]",[],[],"[3364, 3376, 3381, 3366, 3345, 3355, 3339, 3343, 3324, 4027, 4010, 3996, 4013, 4000, 3988, 3982, 4624, 4650, 4642, 4615, 4630, 4663, 4734, 4696, 4677, 4741, 4720, 4702, 4725, 5352, 5380, 4081, 5373, 5370, 5326, 5312, 5354, 5329, 5323, 5380, 5354, 5318, 5314, 5350]"
IQR,"[59, 726, 60, 679, 79, 126, 57, 108, 68, 87, 67, 96, 65, 88, 58, 81, 56, 88, 70, 647, 105, 105, 97, 77, 95, 627, 119, 106, 123, 90, 155, 100, 157, 663, 192, 137, 200, 98, 209, 659, 254, 119, 271, 666, 308, 121, 360, 57, 118, 437, 104, 423, 692, 493, 131, 544, 691, 609, 131, 714, 717, 775, 119, 889, 102, 953, 116, 1006, 743, 1055, 141, 1139, 122, 1209, 110, 1292, 738, 1377, 130, 1469, 69, 117, 1677, 794, 1904, 50, 134, 2134, 787, 2348, 139, 2685, 120, 2623, 844, 2758, 132, 2731, 110, 2850, 144, 3034, 99, 3121, 51, 143, 3443, 127, 3597, 59, 136, 3891, 52, 132, 4266, 127, 4655, 65, 144, 5039, 102, 5711, 49, 46, 132, 6285, 953, 6930, 144, 7833, 62, 134, 8878, 125, 10093, 1011, 10824, 958, 11087]",[],[],"[564, 618, 596, 599, 590, 609, 581, 639, 591, 597, 596, 1181, 1165, 1179, 1174, 1225, 1174, 1202, 1192, 1225, 1220, 1193, 1206, 1222, 1156, 630, 1101, 1733, 1686, 1657, 1719, 1701, 1710, 1671, 1715, 2338, 2377, 2365, 2379, 2386, 2345, 819, 2359, 2365, 2351, 2373, 2341, 2376, 2357, 2397, 494, 506, 1112, 1448, 2713, 2727, 1494, 3364, 3376, 3381, 3366, 3345, 3355, 3339, 3343, 3324, 664, 4027, 4010, 3996, 4013, 4000, 3988, 3982, 869, 4624, 4650, 4642, 4615, 2165, 4630, 4663, 4734, 4696, 4677, 4741, 4720, 4702, 4725, 5352, 5380, 978, 4081, 5373, 5370, 5326, 5312, 2204, 5354, 5329, 5323, 5380, 5354, 5318, 5314, 5350]"
Tukey’s Fences,"[59, 726, 60, 679, 79, 126, 57, 108, 68, 87, 67, 96, 65, 88, 58, 81, 56, 88, 70, 647, 105, 105, 97, 77, 95, 627, 119, 106, 123, 90, 155, 100, 157, 663, 192, 137, 200, 98, 209, 659, 254, 119, 271, 666, 308, 121, 360, 57, 118, 437, 104, 423, 692, 493, 131, 544, 691, 609, 131, 714, 717, 775, 119, 889, 102, 953, 116, 1006, 743, 1055, 141, 1139, 122, 1209, 110, 1292, 738, 1377, 130, 1469, 69, 117, 1677, 794, 1904, 50, 134, 2134, 787, 2348, 139, 2685, 120, 2623, 844, 2758, 132, 2731, 110, 2850, 144, 3034, 99, 3121, 51, 143, 3443, 127, 3597, 59, 136, 3891, 52, 132, 4266, 127, 4655, 65, 144, 5039, 102, 5711, 49, 46, 132, 6285, 953, 6930, 144, 7833, 62, 134, 8878, 125, 10093, 1011, 10824, 958, 11087]",[],[],"[564, 618, 596, 599, 590, 609, 581, 639, 591, 597, 596, 1181, 1165, 1179, 1174, 1225, 1174, 1202, 1192, 1225, 1220, 1193, 1206, 1222, 1156, 630, 1101, 1733, 1686, 1657, 1719, 1701, 1710, 1671, 1715, 2338, 2377, 2365, 2379, 2386, 2345, 819, 2359, 2365, 2351, 2373, 2341, 2376, 2357, 2397, 494, 506, 1112, 1448, 2713, 2727, 1494, 3364, 3376, 3381, 3366, 3345, 3355, 3339, 3343, 3324, 664, 4027, 4010, 3996, 4013, 4000, 3988, 3982, 869, 4624, 4650, 4642, 4615, 2165, 4630, 4663, 4734, 4696, 4677, 4741, 4720, 4702, 4725, 5352, 5380, 978, 4081, 5373, 5370, 5326, 5312, 2204, 5354, 5329, 5323, 5380, 5354, 5318, 5314, 5350]"
