,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
Z-score,"[2840, 3030, 3112, 3432, 3568, 3890, 4255, 4650, 5022, 5695, 6262, 7018, 7819, 8855, 10092, 10806, 11029]",[],[],"[3349, 3341, 3325, 3351, 3374, 3352, 3355, 3319, 3995, 4012, 4032, 4035, 4024, 4110, 3997, 4652, 4709, 4655, 4701, 4679, 4707, 4678, 4799, 4681, 4711, 4881, 4751, 4771, 5431, 5392, 4113, 5349, 5361, 5331, 5384, 5339, 5406, 5391, 5365, 5344, 5376, 5327, 5313]"
IQR,"[56, 695, 42, 583, 70, 104, 54, 54, 51, 51, 51, 82, 62, 78, 57, 63, 53, 62, 53, 538, 90, 65, 79, 52, 75, 557, 114, 72, 105, 72, 144, 66, 139, 648, 165, 113, 184, 77, 197, 641, 221, 95, 248, 640, 291, 110, 330, 60, 109, 412, 90, 387, 700, 457, 106, 512, 717, 597, 116, 709, 769, 756, 113, 875, 84, 926, 110, 1010, 749, 1058, 143, 1127, 125, 1194, 90, 1276, 757, 1363, 120, 1460, 40, 113, 1676, 789, 1892, 54, 118, 2130, 770, 2334, 119, 2672, 110, 2588, 823, 2733, 139, 2729, 98, 2840, 118, 3030, 101, 3112, 43, 120, 3432, 128, 3568, 54, 135, 3890, 46, 114, 4255, 122, 4650, 68, 130, 5022, 94, 5695, 42, 124, 6262, 957, 7018, 133, 7819, 42, 127, 8855, 119, 10092, 1019, 10806, 986, 11029]",[],[],"[588, 585, 595, 583, 582, 593, 585, 616, 584, 598, 589, 1180, 1162, 1162, 1155, 1197, 1194, 1190, 1149, 1192, 1216, 1183, 1239, 1186, 1193, 606, 1119, 1691, 1697, 1709, 1698, 1679, 1679, 1690, 1713, 2379, 2380, 2373, 2330, 2352, 2304, 792, 2335, 2337, 2364, 2358, 2341, 2347, 2368, 2341, 517, 492, 1151, 1421, 2695, 2702, 1462, 3349, 3341, 3276, 3325, 3351, 3374, 3352, 3355, 3319, 665, 3995, 4012, 4032, 4035, 4024, 4110, 3997, 864, 4652, 4709, 4655, 4701, 2175, 4679, 4707, 4678, 4799, 4681, 4711, 4881, 4751, 4771, 5431, 5392, 971, 4113, 5349, 5361, 5331, 5384, 2182, 5339, 5406, 5391, 5365, 5344, 5376, 5327, 5313]"
Tukey’s Fences,"[56, 695, 42, 583, 70, 104, 54, 54, 51, 51, 51, 82, 62, 78, 57, 63, 53, 62, 53, 538, 90, 65, 79, 52, 75, 557, 114, 72, 105, 72, 144, 66, 139, 648, 165, 113, 184, 77, 197, 641, 221, 95, 248, 640, 291, 110, 330, 60, 109, 412, 90, 387, 700, 457, 106, 512, 717, 597, 116, 709, 769, 756, 113, 875, 84, 926, 110, 1010, 749, 1058, 143, 1127, 125, 1194, 90, 1276, 757, 1363, 120, 1460, 40, 113, 1676, 789, 1892, 54, 118, 2130, 770, 2334, 119, 2672, 110, 2588, 823, 2733, 139, 2729, 98, 2840, 118, 3030, 101, 3112, 43, 120, 3432, 128, 3568, 54, 135, 3890, 46, 114, 4255, 122, 4650, 68, 130, 5022, 94, 5695, 42, 124, 6262, 957, 7018, 133, 7819, 42, 127, 8855, 119, 10092, 1019, 10806, 986, 11029]",[],[],"[588, 585, 595, 583, 582, 593, 585, 616, 584, 598, 589, 1180, 1162, 1162, 1155, 1197, 1194, 1190, 1149, 1192, 1216, 1183, 1239, 1186, 1193, 606, 1119, 1691, 1697, 1709, 1698, 1679, 1679, 1690, 1713, 2379, 2380, 2373, 2330, 2352, 2304, 792, 2335, 2337, 2364, 2358, 2341, 2347, 2368, 2341, 517, 492, 1151, 1421, 2695, 2702, 1462, 3349, 3341, 3276, 3325, 3351, 3374, 3352, 3355, 3319, 665, 3995, 4012, 4032, 4035, 4024, 4110, 3997, 864, 4652, 4709, 4655, 4701, 2175, 4679, 4707, 4678, 4799, 4681, 4711, 4881, 4751, 4771, 5431, 5392, 971, 4113, 5349, 5361, 5331, 5384, 2182, 5339, 5406, 5391, 5365, 5344, 5376, 5327, 5313]"
